data,refeicao,alimento,categoria,calorias_kcal,carboidratos_g
2026-06-29,Cafe da manha,Pao integral com ovo mexido,Cereais e proteina,320,28
2026-06-29,Almoco,Arroz integral com feijao e frango grelhado,Refeicao principal,540,55
2026-06-29,Lanche da tarde,Iogurte natural com aveia,Lanche,180,20
2026-06-29,Jantar,Sopa de legumes com carne moida,Refeicao principal,410,30
2026-06-30,Cafe da manha,Vitamina de banana com leite desnatado,Bebida com fruta,250,35
2026-06-30,Almoco,Salada com atum e batata doce,Refeicao principal,480,40
2026-06-30,Lanche da tarde,Barra de cereal,Lanche,150,22
2026-07-01,Cafe da manha,Tapioca com queijo branco,Cereais e proteina,300,32
2026-07-01,Almoco,Macarrao integral com frango,Refeicao principal,520,60
2026-07-02,Jantar,Omelete com legumes,Refeicao principal,350,12
